date,value,source,series_id
2014-01-01,46404.4,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-02-01,46257.4,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-03-01,46777.6,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-04-01,46784.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-05-01,46769.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-06-01,46757.3,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-07-01,47325.5,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-08-01,46922.8,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-09-01,47406.7,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-10-01,47612.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-11-01,47499.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2014-12-01,47441.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-01-01,47382.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-02-01,48255.6,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-03-01,48349.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-04-01,48287.6,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-05-01,48325.4,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-06-01,48919.4,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-07-01,49177.6,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-08-01,49154.0,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-09-01,49247.7,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-10-01,49739.3,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-11-01,49287.7,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2015-12-01,49196.8,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-01-01,49362.8,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-02-01,49445.5,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-03-01,49542.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-04-01,50298.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-05-01,50304.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-06-01,50672.3,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-07-01,50340.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-08-01,50671.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-09-01,50589.7,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-10-01,50923.4,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-11-01,50876.3,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2016-12-01,51455.5,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-01-01,51516.0,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-02-01,51428.6,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-03-01,51411.1,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-04-01,51686.0,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-05-01,52052.7,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-06-01,52145.5,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-07-01,52070.5,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-08-01,51918.3,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-09-01,52384.9,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-10-01,52708.0,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-11-01,53518.3,ABS,HSI_M/7.TOT.CUR.20.AUS.M
2017-12-01,53679.0,ABS,HSI_M/7.TOT.CUR.20.AUS.M
